tier,title,name,game,url,start_date,end_date,is_multi_day,prize,region,location,n_participants,first_place,second_place,first_place_abbrv,second_place_abbrv,first_place_has_page,second_place_has_page,scrape_time
A,2010,MLG Raleigh 2010,Halo 3,https://liquipedia.net/halo/MLG/2010/Raleigh,2010-08-27,2010-08-29,TRUE,56000,United States,"Raleigh, United States",8,Instinct,Final Boss,Instinct,FB,TRUE,FALSE,2021-12-30T14:52:33Z
A,2010,MLG Columbus 2010,Halo 3,https://liquipedia.net/halo/MLG/2010/Columbus,2010-06-04,2010-06-06,TRUE,56000,United States,"Columbus, United States",8,Instinct,Final Boss,Instinct,FB,TRUE,FALSE,2021-12-30T14:52:33Z
A,2010,MLG Orlando 2010,Halo 3,https://liquipedia.net/halo/MLG/2010/Orlando,2010-04-16,2010-04-18,TRUE,56000,United States,"Orlando, United States",8,Instinct,Classic,Instinct,Classic,TRUE,TRUE,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Mexico Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Mexico/Open_Series/Championship,2022-08-26,2022-08-28,TRUE,NA,Mexico,"Online, Mexico",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Europe Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Europe/Open_Series/Championship,2022-08-26,2022-08-28,TRUE,NA,Europe,"Online, Europe",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Oceania Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Oceania/Open_Series/Championship,2022-08-26,2022-08-28,TRUE,NA,Oceania,"Online, Oceania",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 North America Open Championship,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/North_America/Open_Series/Championship,2022-08-26,2022-08-28,TRUE,NA,North America,"Online, North America",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 North America Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/North_America/Pro_Series/3,2022-06-16,2022-06-16,FALSE,NA,North America,"Online, North America",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Europe Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Europe/Pro_Series/3,2022-06-15,2022-06-15,FALSE,NA,Europe,"Online, Europe",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Mexico Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Mexico/Pro_Series/3,2022-06-14,2022-06-14,FALSE,NA,Mexico,"Online, Mexico",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Oceania Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Oceania/Pro_Series/3,2022-06-14,2022-06-14,FALSE,NA,Oceania,"Online, Oceania",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 North America Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/North_America/Pro_Series/2,2022-06-09,2022-06-09,FALSE,NA,North America,"Online, North America",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Europe Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Europe/Pro_Series/2,2022-06-08,2022-06-08,FALSE,NA,Europe,"Online, Europe",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Mexico Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Mexico/Pro_Series/2,2022-06-07,2022-06-07,FALSE,NA,Mexico,"Online, Mexico",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
B,2022,HCS 2021-22 Oceania Pro Series 1,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_2/Oceania/Pro_Series/2,2022-06-07,2022-06-07,FALSE,NA,Oceania,"Online, Oceania",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
